Date,Open,Close
2008-06-18,17.21,17.31
2008-06-17,17.1,17.14
2008-06-16,17.06,16.75
2008-06-13,16.04,16.74
2008-06-12,15.96,15.9
2008-06-11,16.11,15.96
2008-06-10,17.35,16.76
2008-06-09,17.94,17.4
2008-06-06,18.58,18.34
2008-06-05,18.88,18.59
2008-06-04,18.0,18.75
2008-06-03,19.08,18.35
2008-06-02,20.11,19.25
2008-05-30,19.46,20.24
2008-05-29,18.96,19.34
2008-05-28,19.41,18.9
2008-05-27,20.25,19.4
2008-05-23,20.22,19.84
2008-05-22,20.92,20.42
2008-05-21,20.97,20.91
2008-05-20,21.2,21.03
2008-05-19,21.18,21.2
2008-05-19,21.18,21.2
2008-05-16,21.1,21.24
2008-05-15,21.31,21.2
2008-05-14,21.04,21.31
2008-05-13,20.88,21.04
2008-05-12,21.03,20.88
2008-05-09,20.99,21.01
2008-05-08,20.96,20.88
2008-05-07,20.82,21.0
2008-05-06,20.9,20.85
2008-05-05,21.4,21.1
2008-05-02,21.38,21.58
2008-05-01,21.29,21.34
2008-04-30,21.36,21.131
2008-04-29,21.16,21.33
2008-04-28,20.95,21.16
2008-04-25,20.67,20.7
2008-04-24,20.84,20.66
2008-04-23,20.43,20.62
2008-04-22,21.12,20.43
2008-04-21,20.98,21.12
2008-04-18,20.94,21.14
2008-04-17,20.04,20.73
2008-04-16,19.76,20.04
2008-04-15,19.75,19.73
2008-04-14,20.35,19.5
2008-04-11,20.32,20.01
2008-04-10,20.08,20.32
2008-04-09,20.47,20.2
2008-04-08,20.48,20.5
2008-04-07,20.2,20.5
2008-04-04,20.01,20.34
2008-04-03,20.16,20.18
2008-04-02,19.44,20.3
2008-04-02,19.44,20.3
2008-04-01,18.23,19.62
2008-03-31,17.95,17.8
2008-03-28,18.85,17.99
2008-03-27,19.55,17.81
2008-03-26,19.88,19.36
2008-03-25,19.57,19.9
2008-03-24,19.3,20.07
2008-03-20,18.43,19.24
2008-03-19,18.35,18.219
2008-03-18,17.5,18.39
2008-03-17,14.54,15.39
2008-03-14,20.15,18.15
2008-03-13,20.35,20.8
2008-03-12,21.66,21.05
2008-03-11,21.6,21.87
2008-03-10,21.15,21.0001
2008-03-07,21.05,21.6
2008-03-06,21.79,21.35
2008-03-05,21.88,21.89
2008-03-04,21.78,21.37
2008-03-03,22.27,21.69
2008-02-29,22.62,22.42
2008-02-28,22.78,22.62
2008-02-27,22.99,22.62
2008-02-26,22.59,22.75
2008-02-25,22.57,22.69
2008-02-22,22.83,22.68
2008-02-21,22.92,22.48
2008-02-20,22.7,22.68
2008-02-19,22.56,22.72
2008-02-15,22.98,22.7
2008-02-14,22.98,22.78
2008-02-14,22.98,22.78
2008-02-13,22.99,22.84
2008-02-12,22.67,22.88
2008-02-11,23.08,23.12
2008-02-08,23.02,23.04
2008-02-07,22.95,23.16
2008-02-06,23.1,23.0
2008-02-05,22.7,22.89
2008-02-04,23.55,22.9
2008-02-01,23.42,23.47
2008-01-31,23.3,23.2
2008-01-30,22.92,23.1
2008-01-29,23.0,22.83
2008-01-28,22.7,22.8
2008-01-25,22.69,22.84
2008-01-24,22.65,22.7
2008-01-23,22.22,22.84
2008-01-22,21.75,22.07
2008-01-18,22.15,22.15
2008-01-17,22.77,22.35
2008-01-16,22.79,22.69
2008-01-15,22.25,22.5003
2008-01-14,22.38,22.46
2008-01-11,22.34,22.3522
2008-01-10,22.05,22.3
2008-01-09,21.7,22.0499
2008-01-08,21.8,21.77
2008-01-07,21.6,21.86
2008-01-04,21.69,21.6
2008-01-03,21.01,21.69
2008-01-02,19.8,20.76
2007-12-31,19.76,19.9
2007-12-28,20.26,19.77
2007-12-27,20.15,20.33
2007-12-27,20.15,20.33
2007-12-26,20.38,20.26
2007-12-24,20.3,20.7
2007-12-21,19.83,20.3
2007-12-20,19.91,19.78
2007-12-19,20.08,20.17
2007-12-18,20.9,20.24
2007-12-17,21.25,20.48
2007-12-14,21.3,21.02
2007-12-13,20.7,21.1
2007-12-12,21.89,20.73
2007-12-11,22.78,22.15
2007-12-10,22.6,22.58
2007-12-07,22.2,22.45
2007-12-06,21.85,22.22
2007-12-05,21.33,21.8
2007-12-04,21.6,21.49
2007-12-03,21.7,21.78
2007-11-30,21.15,21.89
2007-11-29,20.66,20.5
2007-11-28,19.93,20.7
2007-11-27,20.0,20.41
2007-11-26,20.37,20.07
2007-11-23,20.08,20.37
2007-11-21,20.7,20.26
2007-11-20,20.62,20.2
2007-11-19,20.21,20.48
2007-11-16,20.6,20.35
2007-11-15,21.17,20.69
2007-11-14,21.25,21.75
2007-11-13,20.9,21.24
2007-11-12,21.25,20.71
2007-11-09,20.95,21.44
2007-11-09,20.95,21.44
2007-11-08,20.96,21.25
2007-11-07,21.54,21.22
2007-11-06,21.84,21.91
2007-11-05,22.0,21.71
2007-11-02,22.51,22.63
2007-11-01,22.56,22.55
2007-10-31,22.42,22.43
2007-10-30,22.41,22.33
2007-10-29,22.69,22.46
2007-10-26,22.9,22.69
2007-10-25,22.79,22.88
2007-10-24,23.12,22.9
2007-10-23,22.75,22.9
2007-10-22,23.0,22.88
